learning_rate_list,momentum_list,number_of_epochs_list,batch_size_list1,batch_size_list2,batch_size_list3,batch_size_list4,accuracy_train_list,accuracy_validation_list,cross_entropy_list,validation_list,time_list
0.001,0.5,10,16,32,64,128,0.547085201793722,0.5,0.704774155806724,0.436805185887702,0.265625
0.001,0.5,10,16,32,64,128,0.547085201793722,0.5,0.543933790387886,0.472551823119471,0.25
0.001,0.5,10,16,32,64,128,0.547085201793722,0.5,0.716193709101519,0.278856065239787,0.203125
0.001,0.5,10,16,32,64,128,0.547085201793722,0.5,0.652782477643654,0.511755200223365,0.28125
0.001,0.5,20,16,32,64,128,0.547085201793722,0.5,0.595444559514609,0.404359572938595,0.296875
0.001,0.5,20,16,32,64,128,0.547085201793722,0.5,0.87767266717055,0.0986468449400748,0.21875
0.001,0.5,20,16,32,64,128,0.547085201793722,0.5,0.727524150205157,0.132181439416362,0.25
0.001,0.5,20,16,32,64,128,0.547085201793722,0.5,0.657089942079717,0.476762282092837,0.234375
0.001,0.5,30,16,32,64,128,0.547085201793722,0.5,0.706261613638438,0.170718462156254,0.265625
0.001,0.5,30,16,32,64,128,0.547085201793722,0.5,0.896201212157262,0.574377196255346,0.25
0.001,0.5,30,16,32,64,128,0.547085201793722,0.5,0.566439808391811,0.458744560623197,0.28125
0.001,0.5,30,16,32,64,128,0.547085201793722,0.5,0.826006959932024,-0.000620862651952381,0.265625
0.001,0.6,10,16,32,64,128,0.547085201793722,0.5,0.742904376395612,0.455446606613495,0.296875
0.001,0.6,10,16,32,64,128,0.547085201793722,0.5,0.71768490083802,0.474106347212756,0.28125
0.001,0.6,10,16,32,64,128,0.547085201793722,0.5,0.864507559538857,0.317515787002464,0.21875
0.001,0.6,10,16,32,64,128,0.547085201793722,0.5,0.616069935871494,0.386549249276845,0.265625
0.001,0.6,20,16,32,64,128,0.547085201793722,0.5,0.725063811236708,0.443290968819251,0.28125
0.001,0.6,20,16,32,64,128,0.547085201793722,0.5,0.658026917853127,0.394978658955748,0.234375
0.001,0.6,20,16,32,64,128,0.547085201793722,0.5,0.692275230642664,0.388492033507534,0.296875
0.001,0.6,20,16,32,64,128,0.547085201793722,0.5,0.885901902914148,-0.428726053491983,0.328125
0.001,0.6,30,16,32,64,128,0.547085201793722,0.5,0.948629293509855,-0.0078238484271409,0.296875
0.001,0.6,30,16,32,64,128,0.547085201793722,0.5,0.817413891576877,0.279463800847083,0.234375
0.001,0.6,30,16,32,64,128,0.547085201793722,0.5,0.628570580041617,0.439097948936819,0.234375
0.001,0.6,30,16,32,64,128,0.547085201793722,0.5,0.895949656634818,0.308073068420408,0.3125
0.001,0.7,10,16,32,64,128,0.547085201793722,0.5,0.693228988872268,0.377604267654493,0.328125
0.001,0.7,10,16,32,64,128,0.547085201793722,0.5,0.573687741520845,0.316400247255,0.28125
0.001,0.7,10,16,32,64,128,0.547085201793722,0.5,0.625759535119064,0.410731070839444,0.25
0.001,0.7,10,16,32,64,128,0.547085201793722,0.5,0.719598682356559,-0.180093993440908,0.265625
0.001,0.7,20,16,32,64,128,0.547085201793722,0.5,0.872602070893355,0.217035906032814,0.25
0.001,0.7,20,16,32,64,128,0.547085201793722,0.5,0.854225102845602,0.414455476597637,0.5
0.001,0.7,20,16,32,64,128,0.547085201793722,0.5,0.898284495894659,0.301691546304916,0.25
0.001,0.7,20,16,32,64,128,0.547085201793722,0.5,0.657152368050585,0.333513393220962,0.234375
0.001,0.7,30,16,32,64,128,0.547085201793722,0.5,0.573031811206805,0.479061111415914,0.203125
0.001,0.7,30,16,32,64,128,0.547085201793722,0.5,0.956872016594055,-0.345277421322959,0.3125
0.001,0.7,30,16,32,64,128,0.547085201793722,0.5,0.804942139265791,0.441206245835618,0.234375
0.001,0.7,30,16,32,64,128,0.547085201793722,0.5,0.793854275066074,0.290365803491902,0.21875
0.001,0.9,10,16,32,64,128,0.547085201793722,0.5,0.687119960436198,0.466547364039522,0.203125
0.001,0.9,10,16,32,64,128,0.547085201793722,0.5,0.724219796387449,0.309762831255853,0.296875
0.001,0.9,10,16,32,64,128,0.547085201793722,0.5,0.763244891485698,0.53348474465611,0.265625
0.001,0.9,10,16,32,64,128,0.547085201793722,0.5,0.727345865779237,0.516569033642977,0.28125
0.001,0.9,20,16,32,64,128,0.547085201793722,0.5,0.881375750532774,0.306141630408063,0.234375
0.001,0.9,20,16,32,64,128,0.547085201793722,0.5,0.863459984081069,0.194935012752454,0.25
0.001,0.9,20,16,32,64,128,0.547085201793722,0.5,0.900089236394783,0.352150864111042,0.234375
0.001,0.9,20,16,32,64,128,0.547085201793722,0.5,0.8541551785281,0.487776009349307,0.28125
0.001,0.9,30,16,32,64,128,0.547085201793722,0.5,0.886212894724873,0.350110290853202,0.265625
0.001,0.9,30,16,32,64,128,0.547085201793722,0.5,0.422291705796854,-0.0943142130191459,0.265625
0.001,0.9,30,16,32,64,128,0.547085201793722,0.5,0.918169311230661,-0.28348296019502,0.265625
0.001,0.9,30,16,32,64,128,0.547085201793722,0.5,0.808431659485673,0.328206533722462,0.25
0.003,0.5,10,16,32,64,128,0.547085201793722,0.5,0.730453102121476,0.419246059399102,0.1875
0.003,0.5,10,16,32,64,128,0.547085201793722,0.5,0.75885424199582,0.440067380939423,0.203125
0.003,0.5,10,16,32,64,128,0.547085201793722,0.5,0.738726728525045,0.533971854989507,0.234375
0.003,0.5,10,16,32,64,128,0.547085201793722,0.5,0.651014867711204,0.471675493135269,0.28125
0.003,0.5,20,16,32,64,128,0.547085201793722,0.5,0.870699252324335,0.0393799782259512,0.234375
0.003,0.5,20,16,32,64,128,0.547085201793722,0.5,0.880169480908832,-0.402945830157261,0.25
0.003,0.5,20,16,32,64,128,0.547085201793722,0.5,0.925533016311494,0.160150624618781,0.265625
0.003,0.5,20,16,32,64,128,0.547085201793722,0.5,0.799487552170806,-0.0104258996995967,0.21875
0.003,0.5,30,16,32,64,128,0.547085201793722,0.5,0.850386459273234,0.20426003144329,0.234375
0.003,0.5,30,16,32,64,128,0.547085201793722,0.5,0.85111889143128,-0.414811377136914,0.28125
